Monday,June 20,Sant Guru Kabir Jayanti,"Gazetted holiday in Haryana, Himachal Pradesh, Punjab."
Friday,July 01,Jumat-ul-Wida,Last Friday of Ramadam
Wednesday,July 06,Idul Fitr,Many states
Thursday,July 07,Ramzan,Many states
Friday,July 08,Ramzan,Telengana
Tuesday,July 12,Kharchi Puja,Tripura only
Tuesday,July 26,Ker Puja,Tripura only
Sunday,July 31,Martyrdom Day of Shaheed Udham Singh,Punjab only
Monday,August 01,Bonalu,
Tuesday,August 02,Karkkadaka Vavu,Kerala
Monday,August 15,Independence Day,
Wednesday,August 17,Parsi New Year,"Jamshed Navroz. Gujarat, Mumbai Only"
Thursday,August 18,Raksha Bandhan,"Gujarat, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh only."
Wednesday,August 24,Sreekrishna Jayanthi,"Kerala, Odisha. Celebrates the birth of Lord Shri Krishna"
Thursday,August 25,Janmashtami,Restricted Holiday. Celebrates the birth of Lord Shri Krishna
Friday,September 02,Parkash Utsav Sri Guru Granth Sahib Ji,Punjab only
Saturday,September 03,Tithi of Shrimanta Shankar Dev,Assam only
Sunday,September 04,Teej,Haryana only
Monday,September 05,Ganesh Chaturthi,Varasiddhi Vinayaka Vrata
Tuesday,September 06,Ganesh Chaturthi Holiday,Goa only
Saturday,September 10,Birthday of Baba Sri Chand Ji,Punjab only
Monday,September 12,Idul Juha,"Bakrid. Except Gujarat, Maharashtra, Tamil Nadu, Telangana, Sikkim."
Tuesday,September 13,First Onam,Kerala only. Harvest Festival
Wednesday,September 14,Thiruvonam,Kerala only. Harvest Festival
Thursday,September 15,Third Onam,Kerala only. Harvest Festival
Friday,September 16,Sree Narayana Guru Jayanti,Kerala only. Marks the birth of a key social reformer
Wednesday,September 21,Sree Narayana Guru Samadhi,Kerala only. Marks the death of a key social reformer
Friday,September 23,Haryana's Heroes' Martyrdom Day,Haryana only
Wednesday,September 28,Birthday of S. Bhagat Singh Ji,Punjab only
Friday,September 30,Mahalaya,"Karnataka, Odisha, Tripura, West Bengal only."
Saturday,October 01,Maharaja Agrasen Jayanati,"Haryana, Punjab, Rajasthan only"
Sunday,October 02,Mahatma Gandhi Birthday,Gandhi Jayanti
Saturday,October 08,Panchami,West Bengal
Sunday,October 09,Durgastami,"Andhra Pradesh, Assam, Odisha, Telangana, West Bengal"
Monday,October 10,Ayudha Puja,"Karnataka, Tamil Nadu"
Tuesday,October 11,Dussehra,Dasara/Vijaya Dashami
Wednesday,October 12,Muharram (10th Day),Day of Ashurah
Thursday,October 13,Durga Puja Holiday,Tripura only
Friday,October 14,Durga Puja Holiday,Tripura only
Saturday,October 15,Maharishi Valmiki Birthday,"Delhi, Haryana, Karnataka"
Sunday,October 16,Maharishi Valmiki Birthday,"Himachal Pradesh, Punjab"
Monday,October 17,Parkash Gurpurab of Sri Guru Ram Dass Ji,Punjab only
Saturday,October 29,Deepavali,"Assam, Goa, Kerala, Tamil Nadu, Tripura"
Sunday,October 30,Deewali,"Deepawali. Except Assam, Goa, Kerala, Tamil Nadu, Tripura, West Bengal."
Monday,October 31,Deepavali,"Karnataka, Maharashtra"
Tuesday,November 01,Bhai Bij,Gujarat only.
Sunday,November 06,Chhath Puja,"Assam, Bihar, Haryana, Uttar Pradesh"
Monday,November 07,Chhath Puja,Bihar only
Monday,November 14,Guru Nanak Birthday,"The Birthday of the founder of Sikhism, falls on full moon day of the month Kartik"
Thursday,November 17,Kanakadasa Jayanthi,Karnataka only. Not a public holiday in 2016 due to banking crisis
Saturday,December 03,World Disabled Day,Tripura only
Sunday,December 04,Martyrdom Day of Sri Guru Teg Bahadur Ji,Punjab only
Tuesday,December 06,Public Holiday,"Kerala, Tamil Nadu. To mourn the death of Jayalalithaa"
Monday,December 12,Id-e-Milad,
Tuesday,December 13,Id-e-Milad,"Madhya Pradesh, Tamil Nadu, Tripura, Rajasthan, Uttar Pradesh"
Monday,December 19,Goa Liberation Day,Goa only
Sunday,December 25,Christmas Day,Observed in all states
Monday,December 26,Shaheed Udham Singh's Birthday,Haryana only
